name,sub_area,area,grade,star_count,popular
There is no White Knight,Devils Lake Bouldering,Devil's Lake,7,3.5,23
There are Two,Devils Lake Bouldering,Devil's Lake,8,3,2
Historical Average,Devils Lake Bouldering,Devil's Lake,2,2,1
Show Time,Devils Lake Bouldering,Devil's Lake,5,2.5,20
Bully,Devils Lake Bouldering,Devil's Lake,8,2.5,12
Fustercluck,Devils Lake Bouldering,Devil's Lake,3,2,14
Colonoscopy,Devils Lake Bouldering,Devil's Lake,3,2,3
Makin' Bacon,Devils Lake Bouldering,Devil's Lake,4,2,4
Krishna,Devils Lake Bouldering,Devil's Lake,8,2.5,2
Phantom Face,Devils Lake Bouldering,Devil's Lake,0,1,2
Ghost Dance,Devils Lake Bouldering,Devil's Lake,1,1.5,3
Sad Dad Bar,Devils Lake Bouldering,Devil's Lake,0,2,1
Midwest Connection,Devils Lake Bouldering,Devil's Lake,1,4,1
Beagle,Devils Lake Bouldering,Devil's Lake,0,2,1
Galapagos,Devils Lake Bouldering,Devil's Lake,2,3,1
Talus Troll,Devils Lake Bouldering,Devil's Lake,6,1.5,2
Talus Troll Sit Project,Devils Lake Bouldering,Devil's Lake,7,1.5,2
Salmon Slab,Devils Lake Bouldering,Devil's Lake,0,1,1
Sturgeon Slab,Devils Lake Bouldering,Devil's Lake,0,1,1
Mini Fridge,Devils Lake Bouldering,Devil's Lake,0,1,1
Loonie Boulder,Devils Lake Bouldering,Devil's Lake,0,2,1
Mountie's Bounty,Devils Lake Bouldering,Devil's Lake,2,2,2
The Glass Bench,Devils Lake Bouldering,Devil's Lake,1,3,1
Over the Garden Wall,Devils Lake Bouldering,Devil's Lake,4,3,1
Dorothy's Slab,Devils Lake Bouldering,Devil's Lake,1,4,5
Cloven Hoof,Devils Lake Bouldering,Devil's Lake,6,2.5,4
Baphomet,Devils Lake Bouldering,Devil's Lake,10,3,2
Surprise Slab,Devils Lake Bouldering,Devil's Lake,0,1.5,3
Surprise Warmup,Devils Lake Bouldering,Devil's Lake,0,1,2
Caught Off Guard,Devils Lake Bouldering,Devil's Lake,0,3,3
Big Poppin',Devils Lake Bouldering,Devil's Lake,0,2,2
Surprise Arete,Devils Lake Bouldering,Devil's Lake,1,2,2
Surprise Ledges,Devils Lake Bouldering,Devil's Lake,1,2,2
Surprise The Moss,Devils Lake Bouldering,Devil's Lake,1,3,2
Surprise Party,Devils Lake Bouldering,Devil's Lake,2,2.5,8
Ruining The Surprise,Devils Lake Bouldering,Devil's Lake,2,2,2
Surprise Arête,Devils Lake Bouldering,Devil's Lake,3,3,5
Pleasant Surprise,Devils Lake Bouldering,Devil's Lake,3,2.5,6
Out Of The Blue,Devils Lake Bouldering,Devil's Lake,3,3,4
Sneak Attack,Devils Lake Bouldering,Devil's Lake,8,3,4
The Needle,Devils Lake Bouldering,Devil's Lake,0,2,5
